Megachile albitarsis,Sabal etonia
Diptera,Cornus glabrata
Bees,Berberis pinnata ssp. pinnata
Bombus vagans,Galearis spectabilis
Bombus,Iris virginica
Calliphora vomitoria,Pyxidanthera barbulata
Diptera,Prunus angustifolia
Trochilidae,Tropaeolum majus
Andrena,Napaea dioica
Thymelicus lineola,Dianthus deltoides
Lasioglossum,Callirhoe involucrata
Diptera,Sorbus americana
Trochilidae,Castilleja foliolosa
Apis florea,Foeniculum vulgare
Bees,Linnaea borealis
Coleoptera,Magnolia annonifolia
Andrena angustitarsata,Lasthenia burkei
Bees,Abutilon menziesii
Rhaphiomidas acton,Eriastrum densifolium
Bees,Polemonium foliosissimum
Asilidae,Parnassia palustris
Insecta,Thysanocarpus laciniatus
Lepidoptera,Nolina microcarpa
Halictidae,Clematis ligusticifolia
Bees,Myrsine lessertiana
Bees,Canavalia galeata
Bombus,Primula pauciflora var. pauciflora
Euphyes vestris,Platanthera blephariglottis
Diptera,Calochortus eurycarpus
Trochilidae,Agastache rupestris
Bees,Lomatium dissectum
Bees,Rhododendron canadense
Self pollinated,Arctostaphylos uva-ursi
Diptera,Psydrax odorata
Apis,Penstemon griffinii
Coleoptera,Trillium flexipes
Liriomyza,Nigella sativa
Lepidoptera,Solidago speciosa
Bees,Caltha leptosepala
Lepidoptera,Callicarpa americana
Bees,Desmanthus illinoensis
Hymenoptera,Triphysaria pusilla
Bees,Santalum paniculatum
Coereba flaveola,Goetzea elegans
Lepidoptera,Monardella villosa
Lepidoptera,Petunia hybrida
Self pollinated,Lobularia maritima
Bombus,Pedicularis canadensis
Lepidoptera,Arnica mollis
Insecta,Gentianopsis thermalis
Lepidoptera,Halesia diptera
Bombus sonorus,Chloropyron maritimum ssp. maritimus
Diptera,Ilex longipes
Bombyliidae,Erigeron kachinensis
Trochilidae,Peritoma arborea var. arborea
Apis mellifera,Ferocactus cylindraceus
Bees,Asclepias incarnata
Trochilidae,Penstemon centranthifolius
Trochilidae,Eutrochium maculatum
Bombus fervidus,Castilleja sessiliflora
Bees,Ilex opaca
Bees,Corallorhiza maculata
Bombus,Lobelia siphilitica
Apis,Crepis atribarba
Diptera,Myosotis asiatica
Lepidoptera,Lindera benzoin
Bombus terricola,Arethusa bulbosa
Wind,Fraxinus pensylvanica
Lepidoptera,Dendromecon rigida
Sphingidae,Aquilegia coerulea
Bombus flavifrons,Aconitum columbianum
Noctuidae,Catalpa speciosa
Trochilidae,Rhododendron atlanticum
Hesperia viridis,Opuntia phaeacantha
Trochilidae,Stachys chamissonis
Bees,Sabal causiarum
Diptera,Desmanthus illinoensis
Lepidoptera,Penstemon payettensis
Bees,Salvia columbariae
Lasioglossum cinctipes,Cypripedium candidum
Hymenoptera,Euphorbia esula
Lasioglossum,Blennosperma bakeri
Apis mellifera,Sabal bermudana
Lepidoptera,Malva moschata
Wasps,Penstemon pallidus
Bombus pensylvanicus,Galearis spectabilis
Bees,Parthenocissus quinquefolia
Leptonycteris yerbabuenae,Crescentia alata
Trichiotinus piger,Magnolia grandiflora
Apis dorsata,Sesbania sesban
Mesogona olivata,Platanthera dilatata
Agapostemon,Cypripedium parviflorum
Lasioglossum cressonii,Triphora trianthophoros
Bees,Helianthus schweinitzii
Megachile,Vaccinium macrocarpon
Andrena macrocephala,Nemophila menziesii
Bees,Iris versicolor
Eristalis,Daucus carota
Bees,Diospyros sandwicensis
Glyptobaris rugicollis,Magnolia tripetala
Bees,Vaccinium scoparium
Ceratina japonica,Achyranthes bidentata
Diptera,Rudbeckia hirta
Trochilidae,Mimulus cardinalis
Bombyliidae,Lithophragma parviflorum
Apis,Lantana camara
Wasps,Scrophularia umbrosa
Apis,Rhus glabra
Darapsa versicolor,Platanthera blephariglottis
Rhingia,Ajuga reptans
Svastra sabinensis sabinensis,Kallstroemia grandiflora
Bombus pensylvanicus,Manfreda virginica
Eristalis hirta,Galearis rotundifolia
Bombus,Astragalus anserinus
Anthophora,Salvia mellifera
Bombus,Pedicularis palustris
Lepidoptera,Caesalpinia pulcherrima
Nomia nortoni,Desmodium paniculatum
Bombus terrestris,Trifolium pratense
Bees,Clematis crispa
Bees,Sesuvium portulacastrum
Bees,Anchusa azurea
Coleoptera,Acmispon dendroideus var. traskiae
Lepidoptera,Senecio serra
Lasioglossum,Arctostaphylos pungens
Bees,Solidago sempervirens ssp. mexicana
Trochilidae,Tellima grandiflora
Anthomyia,Stellaria media
Lepidoptera,Solidago missouriensis
Andrena fragilis,Cornus sericea ssp. sericea
Bombus,Spiranthes diluvialis
Hymenoptera,Epipactis thunbergii
Coleoptera,Tagetes erecta
Bees,Psychotria greenwelliae
Andrena polemonii,Polemonium reptans
Osmia lignaria,Taraxacum officinale
Coleoptera,Rosa carolina
Andrena,Vaccinium macrocarpon
Scaptotrigona,Cucumis sativus
Bees,Helenium puberulum
Diptera,Rhus copallinum var. copallinum
Lepidoptera,Ericameria nauseosa
Wind,Purshia tridentata
Trochilidae,Asclepias exaltata
Bombus,Aliciella pinnatifida
Bees,Echeandia pittieri
Culicidae,Euphorbia esula
Bees,Mimulus cardinalis
Trochilidae,Silene laciniata
Apis mellifera,Asclepias exaltata
Bombus,Acmispon dendroideus var. traskiae
Lepidoptera,Coprosma ernodeoides
Birds,Freycinetia arborea
Lepidoptera,Pityopsis graminifolia var. tenuifolia
Bombus,Apocynum androsaemifolium
Trochilidae,Polemonium brandegeei
Bees,Amelanchier alnifolia
Lasioglossum,Dicerandra frutescens
Bees,Lycium pallidum
Birds,Clermontia montis-loa
Bees,Cornus rugosa
Trochilidae,Brodiaea venusta
Lepidoptera,Primula cusickiana
Wasps,Apocynum cannabinum
Bombus mixtus,Goodyera oblongifolia
Diptera,Vernonia gigantea
Anthophila,Eupatorium cannabinum
Diptera,Phacelia tanacetifolia
Exomalopsis,Capsicum frutescens
Bees,Linum berlandieri
Lepidoptera,Ilex vomitoria
Bees,Cladrastis kentukea
Trochilidae,Lycium pallidum
Trochilidae,Kalmia latifolia
Bombus lapidarius,Trifolium pratense
Apis,Arctostaphylos pungens
Bees,Asclepias eriocarpa
Self pollinated,Medicago lupulina
Hyles lineata,Platanthera ciliaris
Apis,Asclepias syriaca
Hemiptera,Eutrochium maculatum
Trochilidae,Robinia pseudoacacia
Self pollinated,Epilobium danielsii
Osmia cornifrons,Capsicum frutescens
Bees,Prunus serotina
Lepidoptera,Alyxia stellata
Coleoptera,Clermontia montis-loa
Thricops,Dryas octopetala
Bees,Solidago caesia
Bees,Vitis aestivalis
Syrphidae,Minuartia glabra
Apis,Cucumis sativus
Diptera,Heterotheca grandiflora
Bombus pensylvanicus,Heterotheca subaxillaris
Lepidoptera,Cornus amomum
Lepidoptera,Rhus integrifolia
Bees,Echeandia bolivarensis
Lepidoptera,Rosa carolina
Coleoptera,Symphyotrichum ericoides
Colias,Echinacea angustifolia
Bees,Agrimonia pubescens
Hymenoptera,Trifolium repens
Bombus,Dipsacus fullonum
Self pollinated,Minuartia uniflora
Lepidoptera,Helenium autumnale
Bees,Fragaria chiloensis
Bees,Micranthes californica
Trochilidae,Monarda didyma
Bombus,Corydalis ambigua
Insecta,Artemisia tridentata
Ichneumonidae,Parnassia palustris
Tachinidae,Eriogonum ovalifolium var. vineum
Bees,Cornus canadensis
Wind,Neohintonia monantha
Lepidoptera,Phlox bifida
Hymenoptera,Euonymus americanus
Lepidoptera,Oenothera macrocarpa
Diptera,Solidago missouriensis
Bombus,Erythronium elegans
Chiroptera,Agave parryi
Insecta,Lobelia kalmii
Bees,Canavalia hawaiiensis
Lepidoptera,Frasera speciosa
Bees,Canavalia kauaiensis
Bombus,Echinacea angustifolia
Andrena,Paeonia brownii
Diptera,Fritillaria pudica
Osmia,Mertensia brevistyla
Hesperiidae,Abronia umbellata var. breviflora
Lepidoptera,Doellingeria umbellata
Bees,Gaultheria procumbens
Muscidae,Linnaea borealis
Anthidium illustre,Fremontodendron decumbens
Eulonchus,Hackelia venusta
Wind,Vitis vinifera
Bombus pensylvanicus,Cypripedium acaule
Apis,Phacelia campanularia
Bombus californicus,Castilleja levisecta
Lepidoptera,Wyethia helianthoides
Hesperiidae,Heliotropium anomalum
Bombus,Diervilla sessilifolia
Bombus flavifrons,Hymenoxys grandiflora
Bees,Ipomoea hederacea
Lepidoptera,Lavandula latifolia
Diptera,Crataegus mollis
Bombus,Aconitum columbianum
Bees,Alyssum maritimum
Megachile petulans,Desmodium paniculatum
Bees,Geum peckii
Self pollinated,Malva neglecta
Hymenoptera,Polygonum cascadense
Bombus balteatus,Oxytropis campestris var. chartacea
Bombus vagans,Conradina verticillata
Diptera,Eriogonum kennedyi
Lepidoptera,Eupatorium perfoliatum
Selasphorus rufus,Delphinium nuttallianum
Lithurgus littoralis,Callirhoe involucrata
Diptera,Apocynum cannabinum
Lepidoptera,Lasthenia californica
